"","Sport","END","STR","PWR","SPD","AGI","FLX","NER","DUR","HAN","ANA","TOTAL","RANK"
"48","Canoeing",6.75,5.25,5.63,3.5,2.75,3.88,3.63,3.25,3.13,4.25,42,49
"49","Horse Racing",4,3.88,2.88,1.38,2.88,3.75,8,4.5,3.88,6.5,41.625,50
"50","Golf",3.25,3.88,6.13,1.63,1.75,4,2.5,2.38,6,6.38,37.875,51
"51","Cheerleading",3.63,3.63,3.38,2.25,4.13,7.5,3.63,3.38,2.5,2.25,36.25,52
"52","Roller Skating",4.75,3.38,4,5.13,4,3.5,2.63,3.38,2.88,2.63,36.25,52
"53","Equestrianism",3.38,3.25,1.75,1.25,2.5,2.88,6,2.75,2.88,5.13,31.75,54
"54","Archery",2.88,4.5,3.13,1.13,1.63,2.63,2.75,2.13,6.63,3.25,30.625,55
"55","Curling",2.25,2.63,2.5,1.5,2.25,2.63,1.75,1.5,4.88,5.63,27.5,56
"56","Bowling",2.25,2.75,3.38,1,1.88,2.38,1.63,1.25,4.75,4.13,25.375,57
"57","Shooting",2.25,2.5,1.38,0.88,1.13,1.75,2.38,1.88,6.75,4,24.875,58
"58","Billiards",1,1,1.75,0.75,1,2.63,1.63,0.75,5.25,5.75,21.5,59
"59","Fishing",1.38,1.63,1.25,0.63,1.5,1.13,0.88,0.88,2.38,2.88,14.5,60
